"time_window","residual"
"2016-09-19 00:00:00","-20.3193089059"
"2016-09-19 00:20:00","-21.8158366837"
"2016-09-19 00:40:00","-21.5120172393"
"2016-09-19 01:00:00","-23.4620172393"
"2016-09-19 01:20:00","-24.2057672393"
"2016-09-19 01:40:00","-23.5467394615"
"2016-09-19 02:00:00","-23.4436144615"
"2016-09-19 02:20:00","-23.6404894615"
"2016-09-19 02:40:00","-23.4866700171"
"2016-09-19 03:00:00","-22.8804200171"
"2016-09-19 03:20:00","-21.9779894615"
"2016-09-19 03:40:00","-20.2345866837"
"2016-09-19 04:00:00","-20.5391005726"
"2016-09-19 04:20:00","-22.2880589059"
"2016-09-19 04:40:00","-20.2297255726"
"2016-09-19 05:00:00","-22.9686144615"
"2016-09-19 05:20:00","-21.6106283504"
"2016-09-19 05:40:00","-17.3064616837"
"2016-09-19 06:00:00","-14.0512533504"
"2016-09-19 06:20:00","-5.44569779483"
"2016-09-19 06:40:00","5.30569109405"
"2016-09-19 07:00:00","12.0056910941"
"2016-09-19 07:20:00","12.7084688718"
"2016-09-19 07:40:00","17.9657605385"
"2016-09-19 08:00:00","23.9685383163"
"2016-09-19 08:20:00","28.4174966496"
"2016-09-19 08:40:00","24.6192327607"
"2016-09-19 09:00:00","19.4709688718"
"2016-09-19 09:20:00","22.6240938718"
"2016-09-19 09:40:00","23.7258299829"
"2016-09-19 10:00:00","18.4740938718"
"2016-09-19 10:20:00","17.6268716496"
"2016-09-19 10:40:00","16.0786077607"
"2016-09-19 11:00:00","10.3272188718"
"2016-09-19 11:20:00","14.0132386087"
"2016-09-19 11:40:00","11.3772736964"
"2016-09-19 12:00:00","15.9386772052"
"2016-09-19 12:20:00","18.9407605385"
"2016-09-19 12:40:00","19.2900660941"
"2016-09-19 13:00:00","22.5911077607"
"2016-09-19 13:20:00","22.3963160941"
"2016-09-19 13:40:00","26.7011772052"
"2016-09-19 14:00:00","25.6525660941"
"2016-09-19 14:20:00","23.1536077607"
"2016-09-19 14:40:00","25.8532605385"
"2016-09-19 15:00:00","23.6525660941"
"2016-09-19 15:20:00","25.7997883163"
"2016-09-19 15:40:00","24.7952744274"
"2016-09-19 16:00:00","26.7418022052"
"2016-09-19 16:20:00","24.7431910941"
"2016-09-19 16:40:00","14.3994410941"
"2016-09-19 17:00:00","8.1001355385"
"2016-09-19 17:20:00","6.99666331628"
"2016-09-19 17:40:00","1.49319109405"
"2016-09-19 18:00:00","-0.312364461501"
"2016-09-19 18:20:00","-4.12729501706"
"2016-09-19 18:40:00","-4.89257279483"
"2016-09-19 19:00:00","-4.80264223928"
"2016-09-19 19:20:00","-5.86514223928"
"2016-09-19 19:40:00","-6.42278112817"
"2016-09-19 20:00:00","-7.72729501706"
"2016-09-19 20:20:00","-8.97625335039"
"2016-09-19 20:40:00","-9.27625335039"
"2016-09-19 21:00:00","-12.8776422393"
"2016-09-19 21:20:00","-13.4234755726"
"2016-09-19 21:40:00","-15.9269477948"
"2016-09-19 22:00:00","-18.9793783504"
"2016-09-19 22:20:00","-19.7220866837"
"2016-09-19 22:40:00","-21.7651422393"
"2016-09-19 23:00:00","-23.0613227948"
"2016-09-19 23:20:00","-21.5599339059"
"2016-09-19 23:40:00","-21.2651422393"
"2016-09-20 00:00:00","-20.3193089059"
"2016-09-20 00:20:00","-21.8158366837"
"2016-09-20 00:40:00","-21.5120172393"
"2016-09-20 01:00:00","-23.4620172393"
"2016-09-20 01:20:00","-24.2057672393"
"2016-09-20 01:40:00","-23.5467394615"
"2016-09-20 02:00:00","-23.4436144615"
"2016-09-20 02:20:00","-23.6404894615"
"2016-09-20 02:40:00","-23.4866700171"
"2016-09-20 03:00:00","-22.8804200171"
"2016-09-20 03:20:00","-21.9779894615"
"2016-09-20 03:40:00","-20.2345866837"
"2016-09-20 04:00:00","-20.5391005726"
"2016-09-20 04:20:00","-22.2880589059"
"2016-09-20 04:40:00","-20.2297255726"
"2016-09-20 05:00:00","-22.9686144615"
"2016-09-20 05:20:00","-21.6106283504"
"2016-09-20 05:40:00","-17.3064616837"
"2016-09-20 06:00:00","-14.0512533504"
"2016-09-20 06:20:00","-5.44569779483"
"2016-09-20 06:40:00","5.30569109405"
"2016-09-20 07:00:00","12.0056910941"
"2016-09-20 07:20:00","12.7084688718"
"2016-09-20 07:40:00","17.9657605385"
"2016-09-20 08:00:00","23.9685383163"
"2016-09-20 08:20:00","28.4174966496"
"2016-09-20 08:40:00","24.6192327607"
"2016-09-20 09:00:00","19.4709688718"
"2016-09-20 09:20:00","22.6240938718"
"2016-09-20 09:40:00","23.7258299829"
"2016-09-20 10:00:00","18.4740938718"
"2016-09-20 10:20:00","17.6268716496"
"2016-09-20 10:40:00","16.0786077607"
"2016-09-20 11:00:00","10.3272188718"
"2016-09-20 11:20:00","14.0132386087"
"2016-09-20 11:40:00","11.3772736964"
"2016-09-20 12:00:00","15.9386772052"
"2016-09-20 12:20:00","18.9407605385"
"2016-09-20 12:40:00","19.2900660941"
"2016-09-20 13:00:00","22.5911077607"
"2016-09-20 13:20:00","22.3963160941"
"2016-09-20 13:40:00","26.7011772052"
"2016-09-20 14:00:00","25.6525660941"
"2016-09-20 14:20:00","23.1536077607"
"2016-09-20 14:40:00","25.8532605385"
"2016-09-20 15:00:00","23.6525660941"
"2016-09-20 15:20:00","25.7997883163"
"2016-09-20 15:40:00","24.7952744274"
"2016-09-20 16:00:00","26.7418022052"
"2016-09-20 16:20:00","24.7431910941"
"2016-09-20 16:40:00","14.3994410941"
"2016-09-20 17:00:00","8.1001355385"
"2016-09-20 17:20:00","6.99666331628"
"2016-09-20 17:40:00","1.49319109405"
"2016-09-20 18:00:00","-0.312364461501"
"2016-09-20 18:20:00","-4.12729501706"
"2016-09-20 18:40:00","-4.89257279483"
"2016-09-20 19:00:00","-4.80264223928"
"2016-09-20 19:20:00","-5.86514223928"
"2016-09-20 19:40:00","-6.42278112817"
"2016-09-20 20:00:00","-7.72729501706"
"2016-09-20 20:20:00","-8.97625335039"
"2016-09-20 20:40:00","-9.27625335039"
"2016-09-20 21:00:00","-12.8776422393"
"2016-09-20 21:20:00","-13.4234755726"
"2016-09-20 21:40:00","-15.9269477948"
"2016-09-20 22:00:00","-18.9793783504"
"2016-09-20 22:20:00","-19.7220866837"
"2016-09-20 22:40:00","-21.7651422393"
"2016-09-20 23:00:00","-23.0613227948"
"2016-09-20 23:20:00","-21.5599339059"
"2016-09-20 23:40:00","-21.2651422393"
"2016-09-21 00:00:00","-20.3193089059"
"2016-09-21 00:20:00","-21.8158366837"
"2016-09-21 00:40:00","-21.5120172393"
"2016-09-21 01:00:00","-23.4620172393"
"2016-09-21 01:20:00","-24.2057672393"
"2016-09-21 01:40:00","-23.5467394615"
"2016-09-21 02:00:00","-23.4436144615"
"2016-09-21 02:20:00","-23.6404894615"
"2016-09-21 02:40:00","-23.4866700171"
"2016-09-21 03:00:00","-22.8804200171"
"2016-09-21 03:20:00","-21.9779894615"
"2016-09-21 03:40:00","-20.2345866837"
"2016-09-21 04:00:00","-20.5391005726"
"2016-09-21 04:20:00","-22.2880589059"
"2016-09-21 04:40:00","-20.2297255726"
"2016-09-21 05:00:00","-22.9686144615"
"2016-09-21 05:20:00","-21.6106283504"
"2016-09-21 05:40:00","-17.3064616837"
"2016-09-21 06:00:00","-14.0512533504"
"2016-09-21 06:20:00","-5.44569779483"
"2016-09-21 06:40:00","5.30569109405"
"2016-09-21 07:00:00","12.0056910941"
"2016-09-21 07:20:00","12.7084688718"
"2016-09-21 07:40:00","17.9657605385"
"2016-09-21 08:00:00","23.9685383163"
"2016-09-21 08:20:00","28.4174966496"
"2016-09-21 08:40:00","24.6192327607"
"2016-09-21 09:00:00","19.4709688718"
"2016-09-21 09:20:00","22.6240938718"
"2016-09-21 09:40:00","23.7258299829"
"2016-09-21 10:00:00","18.4740938718"
"2016-09-21 10:20:00","17.6268716496"
"2016-09-21 10:40:00","16.0786077607"
"2016-09-21 11:00:00","10.3272188718"
"2016-09-21 11:20:00","14.0132386087"
"2016-09-21 11:40:00","11.3772736964"
"2016-09-21 12:00:00","15.9386772052"
"2016-09-21 12:20:00","18.9407605385"
"2016-09-21 12:40:00","19.2900660941"
"2016-09-21 13:00:00","22.5911077607"
"2016-09-21 13:20:00","22.3963160941"
"2016-09-21 13:40:00","26.7011772052"
"2016-09-21 14:00:00","25.6525660941"
"2016-09-21 14:20:00","23.1536077607"
"2016-09-21 14:40:00","25.8532605385"
"2016-09-21 15:00:00","23.6525660941"
"2016-09-21 15:20:00","25.7997883163"
"2016-09-21 15:40:00","24.7952744274"
"2016-09-21 16:00:00","26.7418022052"
"2016-09-21 16:20:00","24.7431910941"
"2016-09-21 16:40:00","14.3994410941"
"2016-09-21 17:00:00","8.1001355385"
"2016-09-21 17:20:00","6.99666331628"
"2016-09-21 17:40:00","1.49319109405"
"2016-09-21 18:00:00","-0.312364461501"
"2016-09-21 18:20:00","-4.12729501706"
"2016-09-21 18:40:00","-4.89257279483"
"2016-09-21 19:00:00","-4.80264223928"
"2016-09-21 19:20:00","-5.86514223928"
"2016-09-21 19:40:00","-6.42278112817"
"2016-09-21 20:00:00","-7.72729501706"
"2016-09-21 20:20:00","-8.97625335039"
"2016-09-21 20:40:00","-9.27625335039"
"2016-09-21 21:00:00","-12.8776422393"
"2016-09-21 21:20:00","-13.4234755726"
"2016-09-21 21:40:00","-15.9269477948"
"2016-09-21 22:00:00","-18.9793783504"
"2016-09-21 22:20:00","-19.7220866837"
"2016-09-21 22:40:00","-21.7651422393"
"2016-09-21 23:00:00","-23.0613227948"
"2016-09-21 23:20:00","-21.5599339059"
"2016-09-21 23:40:00","-21.2651422393"
"2016-09-22 00:00:00","-20.3193089059"
"2016-09-22 00:20:00","-21.8158366837"
"2016-09-22 00:40:00","-21.5120172393"
"2016-09-22 01:00:00","-23.4620172393"
"2016-09-22 01:20:00","-24.2057672393"
"2016-09-22 01:40:00","-23.5467394615"
"2016-09-22 02:00:00","-23.4436144615"
"2016-09-22 02:20:00","-23.6404894615"
"2016-09-22 02:40:00","-23.4866700171"
"2016-09-22 03:00:00","-22.8804200171"
"2016-09-22 03:20:00","-21.9779894615"
"2016-09-22 03:40:00","-20.2345866837"
"2016-09-22 04:00:00","-20.5391005726"
"2016-09-22 04:20:00","-22.2880589059"
"2016-09-22 04:40:00","-20.2297255726"
