"intersection_id","tollgate_id","date","norm_time","time_interval","avg_travel_time"
"B","3","2016/7/19","1.82814465013","72.0","70.85"
"B","3","2016/7/19","-2.14715286539","1.0","148.79"
"B","3","2016/7/19","-1.92319244198","5.0","93.72"
"B","3","2016/7/19","-1.86720233613","6.0","67.81"
"B","3","2016/7/19","-1.75522212442","8.0","167.55"
"B","3","2016/7/19","-1.58725180687","11.0","98.49"
"B","3","2016/7/19","-1.53126170101","12.0","96.67"
"B","3","2016/7/19","-1.47527159516","13.0","53.15"
"B","3","2016/7/19","-1.41928148931","14.0","55.25"
"B","3","2016/7/19","-1.36329138346","15.0","209.66"
"B","3","2016/7/19","-1.1953210659","18.0","145.94"
"B","3","2016/7/19","-1.13933096005","19.0","127.35"
"B","3","2016/7/19","-1.08334085419","20.0","97.2"
"B","3","2016/7/19","-1.02735074834","21.0","118.43"
"B","3","2016/7/19","-0.971360642489","22.0","82.63"
"B","3","2016/7/19","-0.915370536636","23.0","110.5"
"B","3","2016/7/19","-0.859380430784","24.0","125.76"
"B","3","2016/7/19","-0.803390324931","25.0","141.33"
"B","3","2016/7/19","-0.747400219079","26.0","176.08"
"B","3","2016/7/19","-0.691410113227","27.0","165.29"
"B","3","2016/7/19","-0.635420007374","28.0","127.38"
"B","3","2016/7/19","-0.579429901522","29.0","117.83"
"B","3","2016/7/19","-0.523439795669","30.0","98.92"
"B","3","2016/7/19","-0.467449689817","31.0","113.0"
"B","3","2016/7/19","-0.411459583964","32.0","98.15"
"B","3","2016/7/19","-0.355469478112","33.0","95.98"
"B","3","2016/7/19","-0.29947937226","34.0","84.36"
"B","3","2016/7/19","-0.243489266407","35.0","96.54"
"B","3","2016/7/19","-0.187499160555","36.0","144.87"
"B","3","2016/7/19","-0.131509054702","37.0","136.36"
"B","3","2016/7/19","-0.0755189488498","38.0","129.5"
"B","3","2016/7/19","-0.0195288429974","39.0","116.47"
"B","3","2016/7/19","0.0364612628551","40.0","119.37"
"B","3","2016/7/19","0.0924513687075","41.0","176.65"
"B","3","2016/7/19","0.14844147456","42.0","159.46"
"B","3","2016/7/19","0.204431580412","43.0","129.48"
"B","3","2016/7/19","0.260421686265","44.0","120.24"
"B","3","2016/7/19","0.316411792117","45.0","115.29"
"B","3","2016/7/19","0.37240189797","46.0","129.47"
"B","3","2016/7/19","0.428392003822","47.0","120.76"
"B","3","2016/7/19","0.484382109674","48.0","116.07"
