"tollgate_id","time_window","direction","volume"
"3","[2016-10-22 09:20:00,2016-10-22 09:40:00)","1","72.5"
"1","[2016-10-20 17:00:00,2016-10-20 17:20:00)","1","88.0"
"1","[2016-10-20 17:00:00,2016-10-20 17:20:00)","0","47.0"
"3","[2016-10-24 08:00:00,2016-10-24 08:20:00)","0","194.0"
"3","[2016-10-19 18:20:00,2016-10-19 18:40:00)","1","61.5"
"3","[2016-10-18 18:20:00,2016-10-18 18:40:00)","0","82.0"
"3","[2016-10-22 17:20:00,2016-10-22 17:40:00)","0","102.5"
"3","[2016-10-19 08:20:00,2016-10-19 08:40:00)","1","100.0"
"3","[2016-10-23 08:20:00,2016-10-23 08:40:00)","1","58.5"
"2","[2016-10-19 08:00:00,2016-10-19 08:20:00)","0","96.0"
"2","[2016-10-21 08:40:00,2016-10-21 09:00:00)","0","64.0"
"3","[2016-10-20 17:40:00,2016-10-20 18:00:00)","0","108.0"
"1","[2016-10-22 18:00:00,2016-10-22 18:20:00)","1","66.5"
"2","[2016-10-19 17:00:00,2016-10-19 17:20:00)","0","85.0"
"1","[2016-10-23 08:40:00,2016-10-23 09:00:00)","1","68.5"
"3","[2016-10-24 08:00:00,2016-10-24 08:20:00)","1","123.5"
"3","[2016-10-19 09:40:00,2016-10-19 10:00:00)","1","102.5"
"1","[2016-10-24 08:00:00,2016-10-24 08:20:00)","1","100.0"
"1","[2016-10-22 09:00:00,2016-10-22 09:20:00)","0","50.0"
"3","[2016-10-20 17:00:00,2016-10-20 17:20:00)","0","117.0"
"2","[2016-10-21 08:00:00,2016-10-21 08:20:00)","0","60.0"
"3","[2016-10-22 17:00:00,2016-10-22 17:20:00)","0","99.0"
"3","[2016-10-22 09:40:00,2016-10-22 10:00:00)","0","106.5"
"3","[2016-10-22 09:40:00,2016-10-22 10:00:00)","1","67.5"
"2","[2016-10-22 17:20:00,2016-10-22 17:40:00)","0","64.0"
"1","[2016-10-19 18:20:00,2016-10-19 18:40:00)","0","32.0"
"1","[2016-10-18 18:00:00,2016-10-18 18:20:00)","1","79.0"
"3","[2016-10-18 17:40:00,2016-10-18 18:00:00)","0","104.5"
"1","[2016-10-23 17:20:00,2016-10-23 17:40:00)","0","49.5"
"3","[2016-10-22 18:40:00,2016-10-22 19:00:00)","1","45.0"
"2","[2016-10-20 08:00:00,2016-10-20 08:20:00)","0","69.0"
"1","[2016-10-23 09:40:00,2016-10-23 10:00:00)","1","74.5"
"3","[2016-10-24 17:20:00,2016-10-24 17:40:00)","0","128.5"
"1","[2016-10-23 08:00:00,2016-10-23 08:20:00)","1","63.5"
"3","[2016-10-19 09:40:00,2016-10-19 10:00:00)","0","155.5"
"3","[2016-10-18 18:40:00,2016-10-18 19:00:00)","0","70.0"
"1","[2016-10-22 17:00:00,2016-10-22 17:20:00)","1","80.5"
"3","[2016-10-23 08:00:00,2016-10-23 08:20:00)","0","96.0"
"3","[2016-10-22 17:40:00,2016-10-22 18:00:00)","0","96.5"
"2","[2016-10-20 09:20:00,2016-10-20 09:40:00)","0","75.5"
"3","[2016-10-18 17:20:00,2016-10-18 17:40:00)","0","113.5"
"2","[2016-10-23 18:00:00,2016-10-23 18:20:00)","0","47.0"
"3","[2016-10-24 17:40:00,2016-10-24 18:00:00)","1","93.5"
"3","[2016-10-19 08:20:00,2016-10-19 08:40:00)","0","172.0"
"1","[2016-10-21 09:20:00,2016-10-21 09:40:00)","1","102.0"
"1","[2016-10-21 08:00:00,2016-10-21 08:20:00)","0","52.5"
"1","[2016-10-20 09:40:00,2016-10-20 10:00:00)","1","108.5"
"1","[2016-10-19 08:20:00,2016-10-19 08:40:00)","1","94.0"
"1","[2016-10-20 08:00:00,2016-10-20 08:20:00)","1","87.0"
"1","[2016-10-24 09:20:00,2016-10-24 09:40:00)","1","124.0"
"2","[2016-10-19 17:40:00,2016-10-19 18:00:00)","0","75.0"
"1","[2016-10-24 09:00:00,2016-10-24 09:20:00)","1","128.0"
"1","[2016-10-20 18:00:00,2016-10-20 18:20:00)","0","33.5"
"2","[2016-10-20 18:40:00,2016-10-20 19:00:00)","0","58.0"
"3","[2016-10-20 09:20:00,2016-10-20 09:40:00)","0","157.5"
"1","[2016-10-19 09:00:00,2016-10-19 09:20:00)","1","111.5"
"3","[2016-10-20 17:20:00,2016-10-20 17:40:00)","0","119.0"
"2","[2016-10-18 08:20:00,2016-10-18 08:40:00)","0","75.5"
"3","[2016-10-22 08:20:00,2016-10-22 08:40:00)","1","63.5"
"1","[2016-10-20 18:40:00,2016-10-20 19:00:00)","0","28.5"
"3","[2016-10-22 17:40:00,2016-10-22 18:00:00)","1","60.0"
"1","[2016-10-24 18:00:00,2016-10-24 18:20:00)","1","76.5"
"3","[2016-10-19 17:40:00,2016-10-19 18:00:00)","1","74.0"
"2","[2016-10-21 09:20:00,2016-10-21 09:40:00)","0","65.0"
"1","[2016-10-22 18:00:00,2016-10-22 18:20:00)","0","36.5"
"3","[2016-10-23 08:00:00,2016-10-23 08:20:00)","1","53.0"
"3","[2016-10-21 09:20:00,2016-10-21 09:40:00)","0","159.5"
"1","[2016-10-19 08:20:00,2016-10-19 08:40:00)","0","61.0"
"3","[2016-10-18 17:20:00,2016-10-18 17:40:00)","1","77.5"
"2","[2016-10-21 17:20:00,2016-10-21 17:40:00)","0","83.0"
"3","[2016-10-24 17:00:00,2016-10-24 17:20:00)","1","89.5"
"3","[2016-10-19 09:20:00,2016-10-19 09:40:00)","0","168.5"
"3","[2016-10-18 09:40:00,2016-10-18 10:00:00)","1","110.5"
"3","[2016-10-18 09:00:00,2016-10-18 09:20:00)","0","171.0"
"1","[2016-10-19 18:40:00,2016-10-19 19:00:00)","1","65.0"
"3","[2016-10-20 17:00:00,2016-10-20 17:20:00)","1","81.0"
"2","[2016-10-19 09:00:00,2016-10-19 09:20:00)","0","101.5"
"3","[2016-10-21 18:20:00,2016-10-21 18:40:00)","0","92.0"
"3","[2016-10-21 18:40:00,2016-10-21 19:00:00)","0","80.5"
"2","[2016-10-20 17:40:00,2016-10-20 18:00:00)","0","65.0"
"2","[2016-10-19 18:00:00,2016-10-19 18:20:00)","0","69.0"
"1","[2016-10-19 17:00:00,2016-10-19 17:20:00)","0","47.0"
"1","[2016-10-23 08:20:00,2016-10-23 08:40:00)","1","68.0"
"2","[2016-10-18 17:40:00,2016-10-18 18:00:00)","0","59.0"
"1","[2016-10-18 08:00:00,2016-10-18 08:20:00)","0","57.5"
"1","[2016-10-19 09:20:00,2016-10-19 09:40:00)","0","69.0"
"2","[2016-10-22 08:20:00,2016-10-22 08:40:00)","0","60.5"
"3","[2016-10-23 09:40:00,2016-10-23 10:00:00)","1","60.0"
"1","[2016-10-19 09:00:00,2016-10-19 09:20:00)","0","61.0"
"1","[2016-10-23 18:40:00,2016-10-23 19:00:00)","1","67.0"
"2","[2016-10-22 09:40:00,2016-10-22 10:00:00)","0","55.5"
"2","[2016-10-20 17:00:00,2016-10-20 17:20:00)","0","72.0"
"2","[2016-10-19 08:40:00,2016-10-19 09:00:00)","0","99.5"
"1","[2016-10-21 17:00:00,2016-10-21 17:20:00)","1","90.0"
"2","[2016-10-23 09:20:00,2016-10-23 09:40:00)","0","34.0"
"2","[2016-10-22 09:00:00,2016-10-22 09:20:00)","0","61.0"
"1","[2016-10-20 18:00:00,2016-10-20 18:20:00)","1","70.5"
