"tollgate_id","time_window","direction","volume"
"1","[2016-10-25 08:00:00,2016-10-25 08:20:00)","0","47"
"1","[2016-10-25 08:20:00,2016-10-25 08:40:00)","0","52"
"1","[2016-10-25 08:40:00,2016-10-25 09:00:00)","0","47"
"1","[2016-10-25 09:00:00,2016-10-25 09:20:00)","0","48"
"1","[2016-10-25 09:20:00,2016-10-25 09:40:00)","0","48"
"1","[2016-10-25 09:40:00,2016-10-25 10:00:00)","0","50"
"1","[2016-10-25 17:00:00,2016-10-25 17:20:00)","0","44"
"1","[2016-10-25 17:20:00,2016-10-25 17:40:00)","0","37"
"1","[2016-10-25 17:40:00,2016-10-25 18:00:00)","0","34"
"1","[2016-10-25 18:00:00,2016-10-25 18:20:00)","0","33"
"1","[2016-10-25 18:20:00,2016-10-25 18:40:00)","0","32"
"1","[2016-10-25 18:40:00,2016-10-25 19:00:00)","0","28"
"1","[2016-10-26 08:00:00,2016-10-26 08:20:00)","0","45"
"1","[2016-10-26 08:20:00,2016-10-26 08:40:00)","0","50"
"1","[2016-10-26 08:40:00,2016-10-26 09:00:00)","0","46"
"1","[2016-10-26 09:00:00,2016-10-26 09:20:00)","0","47"
"1","[2016-10-26 09:20:00,2016-10-26 09:40:00)","0","47"
"1","[2016-10-26 09:40:00,2016-10-26 10:00:00)","0","48"
"1","[2016-10-26 17:00:00,2016-10-26 17:20:00)","0","40"
"1","[2016-10-26 17:20:00,2016-10-26 17:40:00)","0","32"
"1","[2016-10-26 17:40:00,2016-10-26 18:00:00)","0","30"
"1","[2016-10-26 18:00:00,2016-10-26 18:20:00)","0","29"
"1","[2016-10-26 18:20:00,2016-10-26 18:40:00)","0","28"
"1","[2016-10-26 18:40:00,2016-10-26 19:00:00)","0","24"
"1","[2016-10-27 08:00:00,2016-10-27 08:20:00)","0","40"
"1","[2016-10-27 08:20:00,2016-10-27 08:40:00)","0","46"
"1","[2016-10-27 08:40:00,2016-10-27 09:00:00)","0","42"
"1","[2016-10-27 09:00:00,2016-10-27 09:20:00)","0","43"
"1","[2016-10-27 09:20:00,2016-10-27 09:40:00)","0","43"
"1","[2016-10-27 09:40:00,2016-10-27 10:00:00)","0","44"
"1","[2016-10-27 17:00:00,2016-10-27 17:20:00)","0","37"
"1","[2016-10-27 17:20:00,2016-10-27 17:40:00)","0","29"
"1","[2016-10-27 17:40:00,2016-10-27 18:00:00)","0","27"
"1","[2016-10-27 18:00:00,2016-10-27 18:20:00)","0","26"
"1","[2016-10-27 18:20:00,2016-10-27 18:40:00)","0","25"
"1","[2016-10-27 18:40:00,2016-10-27 19:00:00)","0","21"
"1","[2016-10-28 08:00:00,2016-10-28 08:20:00)","0","36"
"1","[2016-10-28 08:20:00,2016-10-28 08:40:00)","0","41"
"1","[2016-10-28 08:40:00,2016-10-28 09:00:00)","0","38"
"1","[2016-10-28 09:00:00,2016-10-28 09:20:00)","0","39"
"1","[2016-10-28 09:20:00,2016-10-28 09:40:00)","0","39"
"1","[2016-10-28 09:40:00,2016-10-28 10:00:00)","0","40"
"1","[2016-10-28 17:00:00,2016-10-28 17:20:00)","0","48"
"1","[2016-10-28 17:20:00,2016-10-28 17:40:00)","0","40"
"1","[2016-10-28 17:40:00,2016-10-28 18:00:00)","0","35"
"1","[2016-10-28 18:00:00,2016-10-28 18:20:00)","0","34"
"1","[2016-10-28 18:20:00,2016-10-28 18:40:00)","0","31"
"1","[2016-10-28 18:40:00,2016-10-28 19:00:00)","0","30"
"1","[2016-10-29 08:00:00,2016-10-29 08:20:00)","0","44"
"1","[2016-10-29 08:20:00,2016-10-29 08:40:00)","0","49"
"1","[2016-10-29 08:40:00,2016-10-29 09:00:00)","0","47"
"1","[2016-10-29 09:00:00,2016-10-29 09:20:00)","0","48"
"1","[2016-10-29 09:20:00,2016-10-29 09:40:00)","0","47"
"1","[2016-10-29 09:40:00,2016-10-29 10:00:00)","0","48"
"1","[2016-10-29 17:00:00,2016-10-29 17:20:00)","0","45"
"1","[2016-10-29 17:20:00,2016-10-29 17:40:00)","0","38"
"1","[2016-10-29 17:40:00,2016-10-29 18:00:00)","0","34"
"1","[2016-10-29 18:00:00,2016-10-29 18:20:00)","0","33"
"1","[2016-10-29 18:20:00,2016-10-29 18:40:00)","0","31"
"1","[2016-10-29 18:40:00,2016-10-29 19:00:00)","0","28"
"1","[2016-10-30 08:00:00,2016-10-30 08:20:00)","0","68"
"1","[2016-10-30 08:20:00,2016-10-30 08:40:00)","0","73"
"1","[2016-10-30 08:40:00,2016-10-30 09:00:00)","0","62"
"1","[2016-10-30 09:00:00,2016-10-30 09:20:00)","0","63"
"1","[2016-10-30 09:20:00,2016-10-30 09:40:00)","0","65"
"1","[2016-10-30 09:40:00,2016-10-30 10:00:00)","0","67"
"1","[2016-10-30 17:00:00,2016-10-30 17:20:00)","0","83"
"1","[2016-10-30 17:20:00,2016-10-30 17:40:00)","0","75"
"1","[2016-10-30 17:40:00,2016-10-30 18:00:00)","0","59"
"1","[2016-10-30 18:00:00,2016-10-30 18:20:00)","0","59"
"1","[2016-10-30 18:20:00,2016-10-30 18:40:00)","0","52"
"1","[2016-10-30 18:40:00,2016-10-30 19:00:00)","0","58"
"1","[2016-10-31 08:00:00,2016-10-31 08:20:00)","0","120"
"1","[2016-10-31 08:20:00,2016-10-31 08:40:00)","0","128"
"1","[2016-10-31 08:40:00,2016-10-31 09:00:00)","0","97"
"1","[2016-10-31 09:00:00,2016-10-31 09:20:00)","0","97"
"1","[2016-10-31 09:20:00,2016-10-31 09:40:00)","0","104"
"1","[2016-10-31 09:40:00,2016-10-31 10:00:00)","0","111"
"1","[2016-10-31 17:00:00,2016-10-31 17:20:00)","0","66"
"1","[2016-10-31 17:20:00,2016-10-31 17:40:00)","0","58"
"1","[2016-10-31 17:40:00,2016-10-31 18:00:00)","0","48"
"1","[2016-10-31 18:00:00,2016-10-31 18:20:00)","0","48"
"1","[2016-10-31 18:20:00,2016-10-31 18:40:00)","0","43"
"1","[2016-10-31 18:40:00,2016-10-31 19:00:00)","0","45"
"1","[2016-10-25 08:00:00,2016-10-25 08:20:00)","1","112"
"1","[2016-10-25 08:20:00,2016-10-25 08:40:00)","1","117"
"1","[2016-10-25 08:40:00,2016-10-25 09:00:00)","1","115"
"1","[2016-10-25 09:00:00,2016-10-25 09:20:00)","1","123"
"1","[2016-10-25 09:20:00,2016-10-25 09:40:00)","1","114"
"1","[2016-10-25 09:40:00,2016-10-25 10:00:00)","1","118"
"1","[2016-10-25 17:00:00,2016-10-25 17:20:00)","1","107"
"1","[2016-10-25 17:20:00,2016-10-25 17:40:00)","1","114"
"1","[2016-10-25 17:40:00,2016-10-25 18:00:00)","1","122"
"1","[2016-10-25 18:00:00,2016-10-25 18:20:00)","1","79"
"1","[2016-10-25 18:20:00,2016-10-25 18:40:00)","1","86"
"1","[2016-10-25 18:40:00,2016-10-25 19:00:00)","1","77"
"1","[2016-10-26 08:00:00,2016-10-26 08:20:00)","1","106"
"1","[2016-10-26 08:20:00,2016-10-26 08:40:00)","1","112"
"1","[2016-10-26 08:40:00,2016-10-26 09:00:00)","1","110"
"1","[2016-10-26 09:00:00,2016-10-26 09:20:00)","1","117"
"1","[2016-10-26 09:20:00,2016-10-26 09:40:00)","1","110"
"1","[2016-10-26 09:40:00,2016-10-26 10:00:00)","1","112"
"1","[2016-10-26 17:00:00,2016-10-26 17:20:00)","1","107"
"1","[2016-10-26 17:20:00,2016-10-26 17:40:00)","1","114"
"1","[2016-10-26 17:40:00,2016-10-26 18:00:00)","1","121"
"1","[2016-10-26 18:00:00,2016-10-26 18:20:00)","1","79"
"1","[2016-10-26 18:20:00,2016-10-26 18:40:00)","1","86"
