"intersection_id","tollgate_id","time_window","avg_travel_time"
"A","3","[2016-10-18 09:00:00,2016-10-18 09:20:00)","115.895589239"
"C","1","[2016-10-22 18:20:00,2016-10-22 18:40:00)","195.020710946"
"A","2","[2016-10-21 08:00:00,2016-10-21 08:20:00)","56.3916789233"
"A","2","[2016-10-21 09:40:00,2016-10-21 10:00:00)","65.8544554241"
"C","1","[2016-10-19 18:20:00,2016-10-19 18:40:00)","192.737365512"
"B","3","[2016-10-18 08:40:00,2016-10-18 09:00:00)","95.7839289585"
"B","1","[2016-10-21 09:20:00,2016-10-21 09:40:00)","121.640732063"
"A","2","[2016-10-22 09:20:00,2016-10-22 09:40:00)","69.4464614703"
"C","1","[2016-10-19 17:20:00,2016-10-19 17:40:00)","194.983678845"
"B","3","[2016-10-24 17:20:00,2016-10-24 17:40:00)","104.649425115"
"A","2","[2016-10-20 08:40:00,2016-10-20 09:00:00)","62.5533540257"
"B","1","[2016-10-23 09:00:00,2016-10-23 09:20:00)","122.47015476"
"C","1","[2016-10-20 17:20:00,2016-10-20 17:40:00)","192.817091028"
"A","3","[2016-10-21 09:00:00,2016-10-21 09:20:00)","111.80230311"
"A","3","[2016-10-22 09:40:00,2016-10-22 10:00:00)","131.452636461"
"C","1","[2016-10-22 18:00:00,2016-10-22 18:20:00)","194.767564905"
"A","2","[2016-10-24 18:00:00,2016-10-24 18:20:00)","65.2480899567"
"C","3","[2016-10-23 08:00:00,2016-10-23 08:20:00)","160.355692675"
"A","2","[2016-10-19 17:00:00,2016-10-19 17:20:00)","65.5695900523"
"A","2","[2016-10-24 08:20:00,2016-10-24 08:40:00)","61.4223542663"
"C","3","[2016-10-24 18:40:00,2016-10-24 19:00:00)","175.73107389"
"A","2","[2016-10-23 08:00:00,2016-10-23 08:20:00)","56.5144490348"
"C","1","[2016-10-18 09:20:00,2016-10-18 09:40:00)","181.705464404"
"C","3","[2016-10-22 09:40:00,2016-10-22 10:00:00)","186.118765"
"A","2","[2016-10-19 09:20:00,2016-10-19 09:40:00)","66.8446473416"
"A","3","[2016-10-24 18:20:00,2016-10-24 18:40:00)","118.652117082"
"C","3","[2016-10-24 08:40:00,2016-10-24 09:00:00)","173.657142707"
"A","2","[2016-10-21 17:00:00,2016-10-21 17:20:00)","64.3630869609"
"A","3","[2016-10-22 08:00:00,2016-10-22 08:20:00)","122.351316713"
"A","2","[2016-10-24 18:40:00,2016-10-24 19:00:00)","63.1922928882"
"B","3","[2016-10-24 18:20:00,2016-10-24 18:40:00)","103.261741951"
"C","3","[2016-10-22 18:20:00,2016-10-22 18:40:00)","175.686624343"
"B","3","[2016-10-24 09:00:00,2016-10-24 09:20:00)","110.010636508"
