"intersection_id","tollgate_id","time_window","avg_travel_time"
"A","2","[2016-10-25 08:00:00,2016-10-25 08:20:00)","60.4729034845"
"A","2","[2016-10-25 08:20:00,2016-10-25 08:40:00)","67.2679478391"
"A","2","[2016-10-25 08:40:00,2016-10-25 09:00:00)","65.10728756"
"A","2","[2016-10-25 09:00:00,2016-10-25 09:20:00)","66.2370985105"
"A","2","[2016-10-25 09:20:00,2016-10-25 09:40:00)","62.0715174844"
"A","2","[2016-10-25 09:40:00,2016-10-25 10:00:00)","62.7249189552"
"A","2","[2016-10-25 17:00:00,2016-10-25 17:20:00)","62.5567107323"
"A","2","[2016-10-25 17:20:00,2016-10-25 17:40:00)","63.6455014525"
"A","2","[2016-10-25 17:40:00,2016-10-25 18:00:00)","61.7635163691"
"A","2","[2016-10-25 18:00:00,2016-10-25 18:20:00)","59.6461164539"
"A","2","[2016-10-25 18:20:00,2016-10-25 18:40:00)","58.3134265696"
"A","2","[2016-10-25 18:40:00,2016-10-25 19:00:00)","59.1709251196"
"A","2","[2016-10-26 08:00:00,2016-10-26 08:20:00)","65.5986064963"
"A","2","[2016-10-26 08:20:00,2016-10-26 08:40:00)","72.393650851"
"A","2","[2016-10-26 08:40:00,2016-10-26 09:00:00)","70.2329905718"
"A","2","[2016-10-26 09:00:00,2016-10-26 09:20:00)","71.3628015223"
"A","2","[2016-10-26 09:20:00,2016-10-26 09:40:00)","67.1972204962"
"A","2","[2016-10-26 09:40:00,2016-10-26 10:00:00)","67.8506219671"
"A","2","[2016-10-26 17:00:00,2016-10-26 17:20:00)","66.2682538267"
"A","2","[2016-10-26 17:20:00,2016-10-26 17:40:00)","67.357044547"
"A","2","[2016-10-26 17:40:00,2016-10-26 18:00:00)","65.4750594635"
"A","2","[2016-10-26 18:00:00,2016-10-26 18:20:00)","63.3576595484"
"A","2","[2016-10-26 18:20:00,2016-10-26 18:40:00)","62.0249696641"
"A","2","[2016-10-26 18:40:00,2016-10-26 19:00:00)","62.882468214"
"A","2","[2016-10-27 08:00:00,2016-10-27 08:20:00)","61.7128200263"
"A","2","[2016-10-27 08:20:00,2016-10-27 08:40:00)","68.5078643809"
"A","2","[2016-10-27 08:40:00,2016-10-27 09:00:00)","66.3472041017"
"A","2","[2016-10-27 09:00:00,2016-10-27 09:20:00)","67.4770150522"
"A","2","[2016-10-27 09:20:00,2016-10-27 09:40:00)","63.3114340261"
"A","2","[2016-10-27 09:40:00,2016-10-27 10:00:00)","63.964835497"
"A","2","[2016-10-27 17:00:00,2016-10-27 17:20:00)","63.1207068676"
"A","2","[2016-10-27 17:20:00,2016-10-27 17:40:00)","64.2094975878"
"A","2","[2016-10-27 17:40:00,2016-10-27 18:00:00)","62.3275125044"
"A","2","[2016-10-27 18:00:00,2016-10-27 18:20:00)","60.2101125892"
"A","2","[2016-10-27 18:20:00,2016-10-27 18:40:00)","58.8774227049"
"A","2","[2016-10-27 18:40:00,2016-10-27 19:00:00)","59.7349212549"
"A","2","[2016-10-28 08:00:00,2016-10-28 08:20:00)","69.2837430654"
"A","2","[2016-10-28 08:20:00,2016-10-28 08:40:00)","76.07878742"
"A","2","[2016-10-28 08:40:00,2016-10-28 09:00:00)","73.9181271409"
"A","2","[2016-10-28 09:00:00,2016-10-28 09:20:00)","75.0479380914"
"A","2","[2016-10-28 09:20:00,2016-10-28 09:40:00)","70.8823570653"
"A","2","[2016-10-28 09:40:00,2016-10-28 10:00:00)","71.5357585362"
"A","2","[2016-10-28 17:00:00,2016-10-28 17:20:00)","60.0971775735"
"A","2","[2016-10-28 17:20:00,2016-10-28 17:40:00)","61.1859682937"
"A","2","[2016-10-28 17:40:00,2016-10-28 18:00:00)","59.3039832103"
"A","2","[2016-10-28 18:00:00,2016-10-28 18:20:00)","57.1865832951"
"A","2","[2016-10-28 18:20:00,2016-10-28 18:40:00)","55.8538934108"
"A","2","[2016-10-28 18:40:00,2016-10-28 19:00:00)","56.7113919608"
"A","2","[2016-10-29 08:00:00,2016-10-29 08:20:00)","55.5859132549"
"A","2","[2016-10-29 08:20:00,2016-10-29 08:40:00)","62.3809576095"
"A","2","[2016-10-29 08:40:00,2016-10-29 09:00:00)","60.2202973303"
"A","2","[2016-10-29 09:00:00,2016-10-29 09:20:00)","61.3501082808"
"A","2","[2016-10-29 09:20:00,2016-10-29 09:40:00)","57.1845272548"
"A","2","[2016-10-29 09:40:00,2016-10-29 10:00:00)","57.8379287256"
"A","2","[2016-10-29 17:00:00,2016-10-29 17:20:00)","58.0713296437"
"A","2","[2016-10-29 17:20:00,2016-10-29 17:40:00)","59.1601203639"
"A","2","[2016-10-29 17:40:00,2016-10-29 18:00:00)","57.2781352805"
"A","2","[2016-10-29 18:00:00,2016-10-29 18:20:00)","55.1607353653"
"A","2","[2016-10-29 18:20:00,2016-10-29 18:40:00)","53.828045481"
"A","2","[2016-10-29 18:40:00,2016-10-29 19:00:00)","54.685544031"
"A","2","[2016-10-30 08:00:00,2016-10-30 08:20:00)","56.0845155664"
"A","2","[2016-10-30 08:20:00,2016-10-30 08:40:00)","62.879559921"
"A","2","[2016-10-30 08:40:00,2016-10-30 09:00:00)","60.7188996418"
"A","2","[2016-10-30 09:00:00,2016-10-30 09:20:00)","61.8487105923"
"A","2","[2016-10-30 09:20:00,2016-10-30 09:40:00)","57.6831295663"
"A","2","[2016-10-30 09:40:00,2016-10-30 10:00:00)","58.3365310371"
"A","2","[2016-10-30 17:00:00,2016-10-30 17:20:00)","63.3768491243"
"A","2","[2016-10-30 17:20:00,2016-10-30 17:40:00)","64.4656398446"
"A","2","[2016-10-30 17:40:00,2016-10-30 18:00:00)","62.5836547611"
"A","2","[2016-10-30 18:00:00,2016-10-30 18:20:00)","60.4662548459"
"A","2","[2016-10-30 18:20:00,2016-10-30 18:40:00)","59.1335649616"
"A","2","[2016-10-30 18:40:00,2016-10-30 19:00:00)","59.9910635116"
"A","2","[2016-10-31 08:00:00,2016-10-31 08:20:00)","56.9318537949"
"A","2","[2016-10-31 08:20:00,2016-10-31 08:40:00)","63.7268981495"
"A","2","[2016-10-31 08:40:00,2016-10-31 09:00:00)","61.5662378703"
"A","2","[2016-10-31 09:00:00,2016-10-31 09:20:00)","62.6960488208"
"A","2","[2016-10-31 09:20:00,2016-10-31 09:40:00)","58.5304677948"
"A","2","[2016-10-31 09:40:00,2016-10-31 10:00:00)","59.1838692656"
"A","2","[2016-10-31 17:00:00,2016-10-31 17:20:00)","58.3461178734"
"A","2","[2016-10-31 17:20:00,2016-10-31 17:40:00)","59.4349085936"
"A","2","[2016-10-31 17:40:00,2016-10-31 18:00:00)","57.5529235102"
"A","2","[2016-10-31 18:00:00,2016-10-31 18:20:00)","55.435523595"
"A","2","[2016-10-31 18:20:00,2016-10-31 18:40:00)","54.1028337107"
"A","2","[2016-10-31 18:40:00,2016-10-31 19:00:00)","54.9603322607"
"A","3","[2016-10-25 08:00:00,2016-10-25 08:20:00)","129.710599474"
"A","3","[2016-10-25 08:20:00,2016-10-25 08:40:00)","122.646416129"
"A","3","[2016-10-25 08:40:00,2016-10-25 09:00:00)","138.563446108"
"A","3","[2016-10-25 09:00:00,2016-10-25 09:20:00)","133.859504668"
"A","3","[2016-10-25 09:20:00,2016-10-25 09:40:00)","133.445928103"
"A","3","[2016-10-25 09:40:00,2016-10-25 10:00:00)","120.277527403"
"A","3","[2016-10-25 17:00:00,2016-10-25 17:20:00)","113.868808537"
"A","3","[2016-10-25 17:20:00,2016-10-25 17:40:00)","111.701350424"
"A","3","[2016-10-25 17:40:00,2016-10-25 18:00:00)","110.288462476"
"A","3","[2016-10-25 18:00:00,2016-10-25 18:20:00)","106.265970202"
"A","3","[2016-10-25 18:20:00,2016-10-25 18:40:00)","108.547418567"
"A","3","[2016-10-25 18:40:00,2016-10-25 19:00:00)","108.361068441"
"A","3","[2016-10-26 08:00:00,2016-10-26 08:20:00)","135.13324787"
"A","3","[2016-10-26 08:20:00,2016-10-26 08:40:00)","128.069064525"
"A","3","[2016-10-26 08:40:00,2016-10-26 09:00:00)","143.986094504"
"A","3","[2016-10-26 09:00:00,2016-10-26 09:20:00)","139.282153064"
"A","3","[2016-10-26 09:20:00,2016-10-26 09:40:00)","138.868576498"
"A","3","[2016-10-26 09:40:00,2016-10-26 10:00:00)","125.700175799"
"A","3","[2016-10-26 17:00:00,2016-10-26 17:20:00)","124.006022169"
"A","3","[2016-10-26 17:20:00,2016-10-26 17:40:00)","121.838564057"
"A","3","[2016-10-26 17:40:00,2016-10-26 18:00:00)","120.425676108"
"A","3","[2016-10-26 18:00:00,2016-10-26 18:20:00)","116.403183834"
"A","3","[2016-10-26 18:20:00,2016-10-26 18:40:00)","118.6846322"
"A","3","[2016-10-26 18:40:00,2016-10-26 19:00:00)","118.498282074"
"A","3","[2016-10-27 08:00:00,2016-10-27 08:20:00)","133.33662703"
"A","3","[2016-10-27 08:20:00,2016-10-27 08:40:00)","126.272443686"
"A","3","[2016-10-27 08:40:00,2016-10-27 09:00:00)","142.189473665"
"A","3","[2016-10-27 09:00:00,2016-10-27 09:20:00)","137.485532224"
"A","3","[2016-10-27 09:20:00,2016-10-27 09:40:00)","137.071955659"
"A","3","[2016-10-27 09:40:00,2016-10-27 10:00:00)","123.903554959"
"A","3","[2016-10-27 17:00:00,2016-10-27 17:20:00)","115.68517801"
"A","3","[2016-10-27 17:20:00,2016-10-27 17:40:00)","113.517719898"
"A","3","[2016-10-27 17:40:00,2016-10-27 18:00:00)","112.104831949"
"A","3","[2016-10-27 18:00:00,2016-10-27 18:20:00)","108.082339675"
"A","3","[2016-10-27 18:20:00,2016-10-27 18:40:00)","110.363788041"
"A","3","[2016-10-27 18:40:00,2016-10-27 19:00:00)","110.177437915"
"A","3","[2016-10-28 08:00:00,2016-10-28 08:20:00)","130.405858214"
"A","3","[2016-10-28 08:20:00,2016-10-28 08:40:00)","123.34167487"
"A","3","[2016-10-28 08:40:00,2016-10-28 09:00:00)","139.258704849"
"A","3","[2016-10-28 09:00:00,2016-10-28 09:20:00)","134.554763408"
"A","3","[2016-10-28 09:20:00,2016-10-28 09:40:00)","134.141186843"
"A","3","[2016-10-28 09:40:00,2016-10-28 10:00:00)","120.972786143"
"A","3","[2016-10-28 17:00:00,2016-10-28 17:20:00)","104.704626017"
"A","3","[2016-10-28 17:20:00,2016-10-28 17:40:00)","102.537167905"
"A","3","[2016-10-28 17:40:00,2016-10-28 18:00:00)","101.124279956"
"A","3","[2016-10-28 18:00:00,2016-10-28 18:20:00)","97.1017876819"
"A","3","[2016-10-28 18:20:00,2016-10-28 18:40:00)","99.3832360473"
"A","3","[2016-10-28 18:40:00,2016-10-28 19:00:00)","99.1968859212"
"A","3","[2016-10-29 08:00:00,2016-10-29 08:20:00)","118.383174917"
"A","3","[2016-10-29 08:20:00,2016-10-29 08:40:00)","111.318991572"
"A","3","[2016-10-29 08:40:00,2016-10-29 09:00:00)","127.236021551"
"A","3","[2016-10-29 09:00:00,2016-10-29 09:20:00)","122.532080111"
"A","3","[2016-10-29 09:20:00,2016-10-29 09:40:00)","122.118503546"
"A","3","[2016-10-29 09:40:00,2016-10-29 10:00:00)","108.950102846"
"A","3","[2016-10-29 17:00:00,2016-10-29 17:20:00)","102.598401954"
"A","3","[2016-10-29 17:20:00,2016-10-29 17:40:00)","100.430943842"
"A","3","[2016-10-29 17:40:00,2016-10-29 18:00:00)","99.0180558932"
"A","3","[2016-10-29 18:00:00,2016-10-29 18:20:00)","94.9955636189"
"A","3","[2016-10-29 18:20:00,2016-10-29 18:40:00)","97.2770119844"
"A","3","[2016-10-29 18:40:00,2016-10-29 19:00:00)","97.0906618583"
"A","3","[2016-10-30 08:00:00,2016-10-30 08:20:00)","118.677740564"
"A","3","[2016-10-30 08:20:00,2016-10-30 08:40:00)","111.613557219"
"A","3","[2016-10-30 08:40:00,2016-10-30 09:00:00)","127.530587198"
"A","3","[2016-10-30 09:00:00,2016-10-30 09:20:00)","122.826645758"
"A","3","[2016-10-30 09:20:00,2016-10-30 09:40:00)","122.413069192"
"A","3","[2016-10-30 09:40:00,2016-10-30 10:00:00)","109.244668493"
"A","3","[2016-10-30 17:00:00,2016-10-30 17:20:00)","111.270558866"
"A","3","[2016-10-30 17:20:00,2016-10-30 17:40:00)","109.103100754"
"A","3","[2016-10-30 17:40:00,2016-10-30 18:00:00)","107.690212806"
"A","3","[2016-10-30 18:00:00,2016-10-30 18:20:00)","103.667720531"
"A","3","[2016-10-30 18:20:00,2016-10-30 18:40:00)","105.949168897"
"A","3","[2016-10-30 18:40:00,2016-10-30 19:00:00)","105.762818771"
"A","3","[2016-10-31 08:00:00,2016-10-31 08:20:00)","118.695084562"
"A","3","[2016-10-31 08:20:00,2016-10-31 08:40:00)","111.630901217"
"A","3","[2016-10-31 08:40:00,2016-10-31 09:00:00)","127.547931196"
"A","3","[2016-10-31 09:00:00,2016-10-31 09:20:00)","122.843989756"
"A","3","[2016-10-31 09:20:00,2016-10-31 09:40:00)","122.430413191"
"A","3","[2016-10-31 09:40:00,2016-10-31 10:00:00)","109.262012491"
"A","3","[2016-10-31 17:00:00,2016-10-31 17:20:00)","103.423147454"
"A","3","[2016-10-31 17:20:00,2016-10-31 17:40:00)","101.255689342"
"A","3","[2016-10-31 17:40:00,2016-10-31 18:00:00)","99.8428013936"
"A","3","[2016-10-31 18:00:00,2016-10-31 18:20:00)","95.8203091193"
"A","3","[2016-10-31 18:20:00,2016-10-31 18:40:00)","98.1017574848"
